Nombre del archivo,Nombre del documento,Área,Fuente,Fuente - URL,Nº Páginas,Formato,Tipo,Descripción,Nº Tablas,Nº Imágenes
BOE-A-1994-26003-consolidado.pdf,Ley de Arrendamientos Urbanos,Vivienda,BOE,https://www.boe.es/buscar/act.php?id=BOE-A-1994-26003,,PDF,Texto,,,
BOE-015_Codigo_de_Propiedad_Horizontal.pdf,Ley de Propiedad Horizontal,Vivienda,BOE,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=015_Codigo_de_Propiedad_Horizontal&tipo=C&modo=2,,PDF,Texto,,,
BOE-A-2023-12203-consolidado.pdf,Ley de Vivienda,Vivienda,BOE,https://www.boe.es/buscar/act.php?id=BOE-A-2023-12203,,PDF,Texto,,,
BOE-A-2019-3814-consolidado.pdf,Ley de Contratos de Crédito Inmobiliario,Vivienda,BOE,https://www.boe.es/eli/es/l/2019/03/15/5/con,,,,"La famosa ""Ley Hipotecaria"" de 2019 (cláusulas, gastos, ejecuciones).",,
Manual_IVA_2025.pdf,Manual IVA 2025,Fiscalidad y Hacienda,Agencia Tributaria,https://sede.agenciatributaria.gob.es/static_files/Sede/Biblioteca/Manual/Practicos/IVA/Manual_IVA_2025.pdf,,PDF,Texto,,,
BOE-A-2015-8469-consolidado.pdf,Ley de Segunda Oportunidad,Fiscalidad y Hacienda,BOE,https://www.boe.es/eli/es/l/2015/07/28/25/con,,,,para ciudadanos sobreendeudados,,
BOE-A-1996-750-consolidado.pdf,Ley de Asistencia Jurídica Gratuita,Fiscalidad y Hacienda,BOE,https://www.boe.es/buscar/act.php?id=BOE-A-1996-750,,PDF,Texto,Cómo solicitar un abogado de oficio,,
BOE-A-1995-25444-consolidado.pdf,Código Penal,Fiscalidad y Hacienda,BOE,"BOE-A-1995-25444 Ley Orgánica 10/1995, de 23 de noviembre, del Código Penal.",,,,"Hurto, estafas informáticas, daños. El ciudadano suele preguntar ""¿Qué me puede pasar si...?"".",,
CELEX_32023L0970_ES_TXT.pdf,Directiva de Transparencia Salarial,Fiscalidad y Hacienda,Eur-lex,http://data.europa.eu/eli/dir/2023/970/oj,,,,,,
OJ_L_202400886_ES_TXT.pdf,Directiva de Pagos Bancarios Instantaneos ,Fiscalidad y Hacienda,Eur-lex,http://data.europa.eu/eli/reg/2024/886/oj,,,,,,
BOE-A-1987-28141-consolidado.pdf,Impuesto sobre Sucesiones y Donaciones,Fiscalidad y Hacienda,BOE,https://www.boe.es/eli/es/l/1987/12/18/29/con,,,,,,
BOE-A-2022-987.pdf,Manual de características de los VMP,Tráfico y Movilidad,BOE,https://www.dgt.es/muevete-con-seguridad/viaja-seguro/en-patinete/,,PDF,Texto,,,
estatuto_de_los_trabajadores.pdf,Estatuto de los trabajadores,Trabajo y Seguridad Social,BOE,Estatuto de los Trabajadores. Última modificación: 4 de diciembre de 2025,,PDF,Texto,,,
BOE-A-2015-11724-consolidado.pdf,Ley General de Seguridad Social,Trabajo y Seguridad Social,BOE,https://www.boe.es/buscar/act.php?id=BOE-A-2015-11724,,PDF,Texto,,,
guia_jubilacion.pdf,Guía Jubilación,Trabajo y Seguridad Social,Seguridad Social,https://www.seg-social.es/wps/wcm/connect/wss/4f437771-12b2-4efd-81cd-415d20e27fdf/Gu%C3%ADa+sobre+modalidades+de+jubilaci%C3%B3n+contributiva-CASTELL.pdf?MOD=AJPERES,,PDF,Texto + imágenes,,,
